open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignored
2023-03-12 04:00:00,20376.47000000,20403.03000000,20325.32000000,20386.99000000,8959.10190000,2023-03-12 04:59:59.999,182494052.21159330,218547,4486.49605000,91392785.14145410,0
2023-03-12 05:00:00,20386.30000000,20440.80000000,20350.02000000,20354.68000000,9827.92448000,2023-03-12 05:59:59.999,200479645.40583530,235402,4883.60944000,99624148.42973430,0
2023-03-12 06:00:00,20354.68000000,20383.17000000,20318.00000000,20331.80000000,8022.11883000,2023-03-12 06:59:59.999,163274167.24496130,232081,4092.70522000,83300290.14319830,0
2023-03-12 07:00:00,20331.20000000,20374.08000000,20270.60000000,20346.71000000,9179.47060000,2023-03-12 07:59:59.999,186647334.33021420,258514,4734.06431000,96260313.55288660,0
2023-03-12 08:00:00,20346.71000000,20395.00000000,20333.80000000,20376.88000000,9577.40381000,2023-03-12 08:59:59.999,195023061.73386950,245953,4816.16897000,98071759.69895330,0
2023-03-12 09:00:00,20376.83000000,20432.56000000,20362.64000000,20382.18000000,11110.29005000,2023-03-12 09:59:59.999,226542265.42146030,261019,5584.37666000,113869076.27098810,0
2023-03-12 10:00:00,20382.73000000,20448.82000000,20365.08000000,20425.93000000,7738.29404000,2023-03-12 10:59:59.999,157905749.50693250,242734,4050.89400000,82664085.72532300,0
2023-03-12 11:00:00,20425.93000000,20497.34000000,20416.02000000,20445.43000000,11284.55407000,2023-03-12 11:59:59.999,230802571.63090660,296396,5825.30965000,119142290.47469400,0
2023-03-12 12:00:00,20445.56000000,20446.70000000,20317.39000000,20381.25000000,13909.76132000,2023-03-12 12:59:59.999,283495022.14597410,346784,6689.95131000,136348336.33905910,0
2023-03-12 13:00:00,20380.62000000,20466.00000000,20369.00000000,20383.95000000,11980.10659000,2023-03-12 13:59:59.999,244572644.37113560,336424,5797.50153000,118359427.75106560,0
2023-03-12 14:00:00,20383.95000000,20406.75000000,20327.59000000,20339.55000000,10691.66424000,2023-03-12 14:59:59.999,217834655.12553580,302661,5241.68109000,106798956.51061940,0
2023-03-12 15:00:00,20338.28000000,20411.80000000,20284.39000000,20358.96000000,13205.60191000,2023-03-12 15:59:59.999,268806218.47423920,346296,6513.89541000,132598826.98197980,0
2023-03-12 16:00:00,20359.59000000,20419.00000000,20341.85000000,20389.55000000,10460.05601000,2023-03-12 16:59:59.999,213127163.27457580,307810,5413.28446000,110299266.42848660,0
2023-03-12 17:00:00,20390.15000000,20857.62000000,20373.13000000,20785.52000000,33546.82000000,2023-03-12 17:59:59.999,692576526.34367780,658220,17956.14866000,370684770.30863870,0
2023-03-12 18:00:00,20786.52000000,21331.75000000,20692.01000000,21076.45000000,48753.29199000,2023-03-12 18:59:59.999,1023452166.81526370,886035,25413.08416000,533471059.66746840,0
2023-03-12 19:00:00,21075.05000000,21224.99000000,20735.19000000,20779.54000000,32229.52187000,2023-03-12 19:59:59.999,674979189.64358860,650015,15665.81538000,328143938.42452150,0
